IPO Name: GRE Renew Enertech, Issue Size: 0.0, Price: 105.0, Status: listed, Scraped At: 2026-01-07 03:41:57.374323
IPO Name: Avana Electrosystems, Issue Size: 0.0, Price: 59.0, Status: upcoming, Scraped At: 2026-01-07 03:41:57.373866
IPO Name: Defrail Technologies, Issue Size: 0.0, Price: 0.0, Status: upcoming, Scraped At: 2026-01-07 03:41:57.373411
IPO Name: Victory Electric Vehicles, Issue Size: 0.0, Price: 41.0, Status: upcoming, Scraped At: 2026-01-07 03:41:57.372941
IPO Name: Yajur Fibres, Issue Size: 0.0, Price: 174.0, Status: listed, Scraped At: 2026-01-07 03:41:57.372453
IPO Name: Gabion Technologies, Issue Size: 0.0, Price: 81.0, Status: listed, Scraped At: 2026-01-07 03:41:57.371884
IPO Name: Modern Diagnostic, Issue Size: 0.0, Price: 90.0, Status: listed, Scraped At: 2026-01-07 03:41:57.371288
IPO Name: Bharat Coking Coal (BCCL), Issue Size: 0.0, Price: 23.0, Status: listed, Scraped At: 2026-01-07 03:41:57.369903
IPO Name: Shri Venkatesh Refineries Ltd. IPO, Issue Size: 0.0, Price: 40.0, Status: listed, Scraped At: 2026-01-05 10:13:50.464788
IPO Name: Promax Power Ltd. IPO, Issue Size: 0.0, Price: 10.0, Status: listed, Scraped At: 2026-01-05 10:13:50.464190
IPO Name: Bombay Metrics Supply Chain Ltd. IPO, Issue Size: 0.0, Price: 93.0, Status: listed, Scraped At: 2026-01-05 10:13:50.463700
IPO Name: Destiny Logistics & Infra Ltd. IPO, Issue Size: 0.0, Price: 20.0, Status: listed, Scraped At: 2026-01-05 10:13:50.463223
IPO Name: Dynamic Services & Security Ltd. IPO, Issue Size: 0.0, Price: 51.0, Status: listed, Scraped At: 2026-01-05 10:13:50.462720
IPO Name: Samor Reality Ltd. IPO, Issue Size: 0.0, Price: 62.0, Status: listed, Scraped At: 2026-01-05 10:13:50.462196
IPO Name: Adishakti Loha & Ispat Ltd. IPO, Issue Size: 0.0, Price: 11.0, Status: listed, Scraped At: 2026-01-05 10:13:50.461630
IPO Name: CWD Ltd. IPO, Issue Size: 0.0, Price: 180.0, Status: listed, Scraped At: 2026-01-05 10:13:50.461124
IPO Name: D.K.Enterprises Global Ltd. IPO, Issue Size: 0.0, Price: 40.0, Status: listed, Scraped At: 2026-01-05 10:13:50.460582
IPO Name: Kotyark Industries Ltd. IPO, Issue Size: 0.0, Price: 51.0, Status: listed, Scraped At: 2026-01-05 10:13:50.460066
IPO Name: Nidan Laboratories & Healthcare Ltd. IPO, Issue Size: 0.0, Price: 125.0, Status: listed, Scraped At: 2026-01-05 10:13:50.459474
IPO Name: Suyog Gurbaxani Funicular Ropeways Ltd. IPO, Issue Size: 0.0, Price: 45.0, Status: listed, Scraped At: 2026-01-05 10:13:50.458749
